x1,x2,x3,x4,x5,x6,x7,x8
-599.0131395013819,-571.6568668759232,-580.8951774748492,-546.9641316567477,-546.3612279920816,-518.1163244283083,-532.8615001130183,-507.17136754686084
-612.3838068256382,-584.3272217460938,-599.858525991775,-575.3626146140714,-566.3395956466709,-551.6725154600209,-566.396155852181,-539.7036092941531
-590.9758406249241,-555.8521402997665,-568.2036950104232,-542.9300498023874,-542.3945141333894,-520.8537539663041,-525.5383650196796,-492.93007991412844
-582.9440036185595,-543.3066142339071,-559.1896494783823,-528.3759126092261,-526.3640794796729,-500.97009523481154,-511.7016955985656,-472.6069103786082
-598.504968311433,-576.8863715837198,-589.0690954217034,-574.7326122482194,-556.7922047696845,-541.9417101100025,-546.9939868725153,-524.8108925019823
-595.9683154633404,-569.6609837216009,-576.7050868456352,-557.4370943321712,-552.9467913820873,-533.5391433601335,-536.0227967335588,-498.11547936250486
-591.4946150659972,-558.2746737523818,-574.6806091032208,-550.9862895501732,-552.5013620741845,-530.9324759585292,-538.8210446159762,-509.64946181483504
-584.684548007492,-544.2242665107236,-560.1281807724415,-532.9449902168099,-535.0769968465447,-502.2045403933416,-515.8819913767659,-474.94168051388243
-610.0996432193625,-593.1954472407433,-602.495198989014,-572.1901160662394,-581.8205278853771,-562.808815654406,-554.2709614485104,-549.9073389163468
-595.7747058757861,-560.9923010849827,-581.3181277939958,-557.7486621198435,-542.4761716381415,-526.4148718924199,-527.6874429274333,-496.9742275600386
-598.214928694921,-576.9162262132292,-587.9287804098768,-556.362339264038,-558.4188301756851,-539.2525602492287,-535.8819322872852,-523.0655977408233
-593.4309566080308,-567.12294696824,-578.3146145354356,-545.7546292726508,-551.6237033891284,-526.9343069676503,-532.9401347273242,-511.782298725267
-594.9951542885821,-557.5012305718102,-566.1470376997438,-544.777893799444,-538.2426598362756,-515.6508461364906,-522.7640049742354,-495.2656264155679
-583.682215914775,-552.2501833837947,-560.794644414786,-537.9432518864331,-536.0235672766671,-505.98546605251613,-520.2465422561532,-488.2187726892817
-598.1878729171414,-561.7974644789648,-576.4143630443539,-543.8833752889246,-541.257481159281,-522.1588241550055,-526.9964934935526,-501.4831438259764
-582.9460352555673,-546.174012494308,-562.4781734991137,-532.8489268165181,-530.1760077928502,-500.29302115199283,-511.6765401462116,-477.1057436213494
-594.5232351292693,-559.1725104631677,-570.6764465005286,-545.528615743013,-540.1852289311281,-519.4465351787827,-521.9419466420796,-497.6801284445312
-595.0122131393198,-575.3214355062104,-580.5091394389772,-563.9873246371199,-546.7808697014109,-540.4625194198125,-536.4827677477366,-508.58619300977875
-593.5842940264173,-561.6152906260356,-569.0897052822903,-542.0097176544823,-539.4857741591271,-511.34171986481397,-530.8056669909179,-485.1384630012027
-580.0294036425979,-541.6607312105662,-557.7761064780758,-526.9248658878629,-527.0671586143733,-495.50813481622436,-508.9982448619577,-473.4363565521446
